DrugID,DrugName,DrugCUI
DB06605,Apixaban,C1831808
DB06695,Dabigatran etexilate,C1571583
DB09070,Tibolone,C0076660
DB00013,Urokinase,C0042071
DB00163,Vitamin E,C0042874
DB01381,Ginkgo biloba,C0330206
DB00468,Quinine,C0034417
DB00908,Quinidine,C0034414
DB00806,Pentoxifylline,C0030899
DB00686,Pentosan polysulfate,C0600296
DB00583,Levocarnitine,C0087163
DB00255,Diethylstilbestrol,C0012203
DB00269,Chlorotrianisene,C0008275
DB00783,Estradiol,C0014912
DB01357,Mestranol,C0025506
DB04573,Estriol,C0014927
DB04574,Estrone sulfate,C0059668
DB04575,Quinestrol,C0034410
DB07931,Hexestrol,C0019467
DB09317,"Synthetic Conjugated Estrogens, A",C0795604
DB09318,"Synthetic Conjugated Estrogens, B",C1699236
DB09369,Polyestradiol phosphate,C0071554
DB11478,Zeranol,C0043465
DB11674,Equol,C0059497
DB12487,Promestriene,C0072151
DB13143,Methallenestril,C0066078
DB13386,Epimestrol,C0014561
DB13418,Moxestrol,C0066834
DB13952,Estradiol acetate,C1330622
DB13954,Estradiol cypionate,C0059610
DB13956,Estradiol valerate,C0059623
DB15334,Biochanin A,C0053622
DB15335,Formononetin,C0060656
DB11133,Omega-3 fatty acids,C0015689
DB00389,Carbimazole,C0006983
DB00550,Propylthiouracil,C0033511
DB00763,Methimazole,C0025644
DB06715,Potassium Iodide,C0032831
DB07637,Dibromotyrosine,C3652699
DB09418,Potassium perchlorate,C0071774
DB13644,Methylthiouracil,C0025830
DB13804,Benzylthiouracil,C0053332
DB00834,Mifepristone,C0026088
DB05830,Trestolone,C0084844
DB06266,Lonidamine,C0065175
DB08867,Ulipristal,C0300205
DB09401,Isosorbide,C0022251
DB11507,Cloprostenol,C0009030
DB12025,Triptolide,C0077274
DB13044,Gossypol,C0018096
DB13310,Ormeloxifene,C1701687
DB00294,Etonogestrel,C0047683
DB00304,Desogestrel,C0057558
DB00351,Megestrol acetate,C0065879
DB00367,Levonorgestrel,C0023566
DB00378,Dydrogesterone,C0013340
DB00396,Progesterone,C0033308
DB00603,Medroxyprogesterone acetate,C0065864
DB00823,Ethynodiol diacetate,C0015117
DB00957,Norgestimate,C0068992
DB01395,Drospirenone,C0043822
DB01431,Allylestrenol,C0002158
DB04839,Cyproterone acetate,C0056855
DB06713,Norelgestromin,C1120952
DB06730,Gestodene,C0061246
DB09123,Dienogest,C0057916
DB09124,Medrogestone,C0025145
DB09371,Norethynodrel,C0028360
DB09389,Norgestrel,C0028368
