DrugID,DrugName,DrugCUI
DB00001,Lepirudin,C0772394
DB00002,Cetuximab,C0995188
DB00004,Denileukin diftitox,C0717670
DB00006,Bivalirudin,C0168273
DB00010,Sermorelin,C0142046
DB00012,Darbepoetin alfa,C0937950
DB00013,Urokinase,C0042071
DB00015,Reteplase,C0256103
DB00019,Pegfilgrastim,C1136535
DB00020,Sargramostim,C0216231
DB00021,Secretin,C0036534
DB00025,"Antihemophilic factor, human recombinant",C2732002
DB00027,Gramicidin d,C0018160
DB00028,Immune globulin human,C0358321
DB00029,Anistreplase,C0078956
DB00031,Tenecteplase,C0872913
DB00032,Menotropins,C0025326
DB00036,Coagulation factor viia recombinant human,C0534191
DB00038,Oprelvekin,C0537670
DB00042,Botulinum toxin type b,C0006051
DB00043,Omalizumab,C0966225
DB00044,Lutropin alfa,C1271607
DB00045,Lyme disease vaccine (recombinant ospa),C0134235
DB00048,Collagenase clostridium histolyticum,C0009053
DB00050,Cetrorelix,C0209366
DB00054,Abciximab,C0288672
DB00055,Drotrecogin alfa,C1170000
DB00058,Alpha-1-proteinase inhibitor,C0002191
DB00061,Pegademase bovine,C0164674
DB00062,Human serum albumin,C0304925
DB00063,Eptifibatide,C0253563
DB00066,Follitropin,C0733758
DB00067,Vasopressin,C0042413
DB00086,Streptokinase,C0038418
DB00089,Capromab pendetide,C0529572
DB00093,Felypressin,C0015777
DB00094,Urofollitropin,C0524639
DB00097,Choriogonadotropin alfa,C0937609
DB00099,Filgrastim,C0210630
DB00100,Coagulation factor ix (recombinant),C2826076
DB00102,Becaplermin,C0379135
DB00106,Abarelix,C0965390
DB00107,Oxytocin,C0030095
DB00110,Palivizumab,C0672596
DB00113,Technetium tc-99m arcitumomab,C0758542
DB00114,Pyridoxal phosphate,C0034266
DB00117,Histidine,C0019602
DB00119,Pyruvic acid,C0072802
DB00121,Biotin,C0005575
DB00123,L-lysine,C0024337
DB00125,L-arginine,C0003765
DB00127,Spermine,C0037874
DB00128,L-aspartic acid,C0004015
DB00129,Ornithine,C0029277
DB00130,L-glutamine,C0017797
DB00131,Adenosine monophosphate,C0001465
DB00132,Alpha-linolenic acid,C0051405
DB00133,Serine,C0036720
DB00134,Methionine,C0025646
DB00135,L-tyrosine,C0041485
DB00137,Lutein,C0043328
DB00138,Cystine,C0010682
DB00139,Succinic acid,C0075429
DB00140,Riboflavin,C0035527
DB00141,N-acetylglucosamine,C0001056
DB00143,Glutathione,C0017817
DB00144,Phosphatidyl serine,C0031623
DB00145,Glycine,C0017890
DB00147,Pyridoxal,C0034263
DB00148,Creatine,C0010286
DB00149,L-leucine,C0023401
DB00150,L-tryptophan,C0041249
DB00151,L-cysteine,C0010654
DB00154,Dihomo-gamma-linolenic acid,C0000658
DB00155,L-citrulline,C0008864
DB00156,L-threonine,C0040005
DB00157,Nadh,C0027289
DB00160,L-alanine,C0001898
DB00161,L-valine,C0042285
DB00167,L-isoleucine,C0022192
DB00168,Aspartame,C0003999
