pubmed_ids,drugbank_id,uniprot_id
10505536,DB00001,P00734
10912644,DB00001,P00734
11055889,DB00001,P00734
11467439,DB00001,P00734
11807012,DB00001,P00734
11752352,DB00001,P00734
11060732,DB00006,P00734
11504570,DB00006,P00734
11833835,DB00006,P00734
11923794,DB00006,P00734
11929334,DB00006,P00734
11752352,DB00006,P00734
10688826,DB00025,P00734
1139038,DB00025,P00734
12463731,DB00025,P00734
2402772,DB00025,P00734
3099625,DB00025,P00734
10463819,DB00055,P00734
12062545,DB00055,P00734
12070133,DB00055,P00734
12208873,DB00055,P00734
12296618,DB00055,P00734
10498586,DB00100,P00734
10499904,DB00100,P00734
10499905,DB00100,P00734
10648407,DB00100,P00734
11019961,DB00100,P00734
10469489,DB00170,P00734
2484931,DB00170,P00734
2922761,DB00170,P00734
6867080,DB00170,P00734
7657295,DB00170,P00734
10226408,DB00278,P00734
10353669,DB00278,P00734
10362188,DB00278,P00734
10608016,DB00278,P00734
10608050,DB00278,P00734
11752352,DB00278,P00734
1711542,DB01123,P00734
4857231,DB01123,P00734
6722124,DB01123,P00734
7407200,DB01123,P00734
7837275,DB01123,P00734
10592235,DB01123,P00734
10592235,DB01766,P00734
10592235,DB01767,P00734
10592235,DB02193,P00734
11752352,DB02351,P00734
17139284,DB02723,P00734
17016423,DB02723,P00734
10592235,DB03136,P00734
10592235,DB03159,P00734
17139284,DB03847,P00734
17016423,DB03847,P00734
10592235,DB03847,P00734
10592235,DB03865,P00734
17139284,DB04136,P00734
17016423,DB04136,P00734
10592235,DB04136,P00734
10592235,DB04591,P00734
10592235,DB04722,P00734
15203120,DB04786,P00734
17688383,DB04898,P00734
17319469,DB04898,P00734
17516699,DB04898,P00734
17532684,DB04898,P00734
11752352,DB04898,P00734
19756950,DB06695,P00734
17061960,DB06695,P00734
20424539,DB06695,P00734
10592235,DB06838,P00734
10592235,DB06841,P00734
10592235,DB06845,P00734
10592235,DB06850,P00734
10592235,DB06853,P00734
10592235,DB06854,P00734
10592235,DB06858,P00734
10592235,DB06859,P00734
10592235,DB06861,P00734
10592235,DB06865,P00734
10592235,DB06866,P00734
10592235,DB06868,P00734
10592235,DB06869,P00734
10592235,DB06878,P00734
10592235,DB06911,P00734
10592235,DB06919,P00734
10592235,DB06929,P00734
10592235,DB06936,P00734
10592235,DB06942,P00734
10592235,DB06947,P00734
10592235,DB06996,P00734
10592235,DB07005,P00734
10592235,DB07016,P00734
10592235,DB07027,P00734
10592235,DB07083,P00734
10592235,DB07088,P00734
10592235,DB07091,P00734
10592235,DB07095,P00734
10592235,DB07105,P00734
10592235,DB07120,P00734
10592235,DB07128,P00734
10592235,DB07131,P00734
10592235,DB07133,P00734
10592235,DB07143,P00734
10592235,DB07165,P00734
10592235,DB07190,P00734
10592235,DB07211,P00734
10592235,DB07277,P00734
10592235,DB07278,P00734
10592235,DB07279,P00734
10592235,DB07353,P00734
10592235,DB07366,P00734
