"Dataset","Number of the triple","Time"
"ddidpi","10000","0.6890027523040771"
"ddidpi","20000","0.947998046875"
"ddidpi","30000","1.21453857421875"
"ddidpi","40000","1.4745404720306396"
"ddidpi","50000","1.7145390510559082"
"ddidpi","60000","6.334534168243408"
"ddidpi","70000","6.504531145095825"
"ddidpi","80000","6.673530101776123"
"ddidpi","90000","6.842530250549316"
"ddidpi","100000","7.031521797180176"
"ddidpi","110000","7.208518981933594"
"ddidpi","120000","7.375516653060913"
"ddidpi","130000","7.543524503707886"
"ddidpi","140000","7.7135233879089355"
"ddidpi","150000","7.891522169113159"
"ddidpi","160000","8.060511827468872"
"ddidpi","170000","8.23151969909668"
"ddidpi","180000","8.402523279190063"
"ddidpi","190000","8.575517416000366"
"ddidpi","200000","8.745516300201416"
"ddidpi","210000","8.920517683029175"
"ddidpi","220000","9.09351372718811"
"ddidpi","230000","9.26351284980774"
"ddidpi","240000","9.440511703491211"
"ddidpi","250000","9.611510515213013"
"ddidpi","260000","9.78050947189331"
"ddidpi","270000","9.95050859451294"
"ddidpi","280000","10.11950969696045"
"ddidpi","290000","10.288505792617798"
"ddidpi","300000","10.457504510879517"
"ddidpi","310000","10.626503705978394"
"ddidpi","320000","10.793504238128662"
"ddidpi","330000","10.968501806259155"
"ddidpi","340000","11.162559270858765"
"ddidpi","350000","11.338490009307861"
"ddidpi","360000","11.51350712776184"
"ddidpi","370000","11.688081979751587"
"ddidpi","380000","11.859114170074463"
"ddidpi","390000","12.03341031074524"
"ddidpi","400000","12.207402467727661"
"ddidpi","410000","12.386418104171753"
"ddidpi","420000","12.558398485183716"
"ddidpi","430000","12.730405330657959"
"ddidpi","440000","12.905404567718506"
"ddidpi","450000","13.077403545379639"
"ddidpi","460000","13.251402378082275"
"ddidpi","470000","13.426401615142822"
"ddidpi","480000","13.599400043487549"
"ddidpi","490000","13.78439974784851"
"ddidpi","500000","13.959397315979004"
"ddidpi","510000","14.131396055221558"
"ddidpi","520000","14.304396152496338"
"ddidpi","530000","14.477393865585327"
"ddidpi","540000","14.64939260482788"
"ddidpi","550000","14.82444453239441"
"ddidpi","560000","15.008390188217163"
"ddidpi","570000","15.182382345199585"
"ddidpi","580000","15.358388185501099"
"ddidpi","590000","15.536382675170898"
"ddidpi","600000","15.710379123687744"
"ddidpi","610000","15.885384559631348"
"ddidpi","620000","16.05945920944214"
"ddidpi","630000","16.23445177078247"
"ddidpi","640000","16.41245722770691"
"ddidpi","650000","16.58545708656311"
"ddidpi","660000","16.760457038879395"
"ddidpi","670000","16.933454036712646"
"ddidpi","680000","17.106445789337158"
"ddidpi","690000","17.285451650619507"
"ddidpi","700000","17.459450721740723"
"ddidpi","710000","17.632448434829712"
